Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
211 Child Care,Statewide resource,Child care search and referral,,Statewide,,,Birth through school age,,2-1-1 or 1-800-505-1000,https://resources.211childcare.org/,,,,,,,,"Free help finding licensed child care, family child care, before- and after-school programs, camps, Head Start, public pre-K, and other options.",https://resources.211childcare.org/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
211 Child Care Provider Search,Statewide resource,Online provider directory,,Statewide,,,Birth through school age,,2-1-1 or 1-800-505-1000,https://search.211childcare.org/,,,,,,,,"Search programs by location and review program details. Call to confirm openings, cost, and schedule.",https://search.211childcare.org/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Care 4 Kids,Statewide resource,Help paying for child care,,Statewide,,,Eligible Connecticut families,,1-888-214-KIDS (5437),https://www.ctcare4kids.com/,,,,,,,,Connecticut's child care subsidy program. Eligibility and payment amounts depend on family circumstances.,https://www.ctcare4kids.com/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Child Care Aware of America: Connecticut Resources,Statewide resource,Child care links and family support,,Statewide,,,Families seeking child care,,Use the contacts listed on the page,https://www.childcareaware.org/state/connecticut-6/,,,,,,,,"Connecticut links for child care search, licensing, help paying, Head Start, health coverage, and services for children with disabilities.",https://www.childcareaware.org/state/connecticut-6/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Connecticut Birth to Three System,Statewide resource,Early intervention,,Statewide,,,Children under age 3 with developmental concerns,,1-800-505-7000,https://www.birth23.org/,,,,,,,,"Evaluation, service coordination, and early-intervention support for eligible infants and toddlers and their families.",https://www.birth23.org/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Connecticut eLicense Child Care Roster,Statewide resource,Official licensing roster,,Statewide,,,Licensed child care and youth camp programs,,oec.licensing@ct.gov,https://www.elicense.ct.gov/Lookup/DownloadRoster.aspx,,,,,,,,Create and download a current roster of open or recently closed licensed programs. Use the roster to check license status.,https://www.elicense.ct.gov/Lookup/DownloadRoster.aspx,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Connecticut Head Start Association Program Finder,Statewide resource,Free early learning and family support,,Statewide,,,Pregnant families and children from birth to age 5,,ConnecticutHSA@gmail.com,https://ctheadstart.org/find-a-program/,,,,,,,,Find Head Start and Early Head Start programs. Eligibility rules apply.,https://ctheadstart.org/find-a-program/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Connecticut Office of Early Childhood: Find Child Care and Camps,Statewide resource,State guidance and provider search,,Statewide,,,Birth through school age,,860-500-4450 or 800-282-6063,https://www.ctoec.org/child-care-and-camps/,,,,,,,,"Official guidance on finding care, checking licensing information, and getting help with child care costs.",https://www.ctoec.org/child-care-and-camps/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Connecticut WIC Local Agencies,Statewide resource,Nutrition and family support,,Statewide,,,"Pregnant and postpartum people, infants, and children under age 5",,Call the nearest local agency,https://portal.ct.gov/DPH/WIC/Find-a-Local-Agency,,,,,,,,"Find local WIC offices for food benefits, nutrition education, breastfeeding support, and referrals.",https://portal.ct.gov/DPH/WIC/Find-a-Local-Agency,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Early Start CT,Statewide resource,State-funded early care and education,,Statewide,,,"Infants, toddlers, preschool, and some school-age children",,Contact the listed local program,https://www.ctoec.org/early-start-ct/,,,,,,,,State-funded spaces for eligible families. The provider rows in this file come from the FY26 Early Start CT map.,https://www.ctoec.org/early-start-ct/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Federal Head Start Center Locator,Statewide resource,Head Start and Early Head Start locator,,Statewide,,,Pregnant families and children from birth to age 5,,Contact the listed program,https://headstart.gov/center-locator,,,,,,,,Search by address or ZIP code for nearby Head Start and Early Head Start centers.,https://headstart.gov/center-locator,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Help Me Grow Connecticut,Statewide resource,Child development and family support,,Statewide,,,Pregnant families and children through age 8,,1-800-505-7000,https://www.ctoec.org/help-me-grow/,,,,,,,,"Connects families with developmental screening, community programs, and support.",https://www.ctoec.org/help-me-grow/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
HUSKY Health Connecticut,Statewide resource,Health coverage,,Statewide,,,"Eligible children, parents, caregivers, and pregnant people",,1-800-859-9889,https://www.huskyhealthct.org/,,,,,,,,Connecticut Medicaid and Children's Health Insurance Program information and member support.,https://www.huskyhealthct.org/,2026-08-25,Official or established statewide referral source. Check the linked page for current rules and details.
Gianna Piccione Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Sterling,06377,"328 Gibson hill rd, Sterling, CT, 06377",Infant/Toddler; Preschool; School age,Gianna Piccione,(401) 269-6255,,DCFH.57337; Registry 8966,5,3,1,9,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Sterling Boe At Sterling Community Preschool,Provider,Early Start CT funded child care,Public School,Sterling,06377,"251 Sterling Rd, Sterling, CT, 06377",Preschool,Heather Nickerson,(860) 564-2728,,EXEMPT; Registry 6260,0,29,0,29,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Alliance for Comm Empowerment@ Holy Name of Jesus CCC,Provider,Early Start CT funded child care,Child Care Center,Stratford,06614,"3 Mary Ave, Stratford, CT, 06614",Infant/Toddler; Preschool,Monette Ferguson,(203) 366-8241,,DCCC.16064; Registry 1421,58,45,0,103,Stratford LGP,Suzanne Porco Clements | clements@cestrumbull.org | 203-365-8213,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Honey Bear Learning Center,Provider,Early Start CT funded child care,Child Care Center,Stratford,06614,"1498 North Ave, Stratford, CT, 06614",Infant/Toddler; Preschool,Catherine Vanicky,(203) 375-1866,,DCCC.13395; Registry 169,12,30,0,42,Stratford LGP,Suzanne Porco Clements | clements@cestrumbull.org | 203-365-8213,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lindsey's House Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Stratford,06614,"287 Kenyon St, Stratford, CT, 06614",Infant/Toddler; Preschool; School age,Stalita Rembert-Newby,(203) 873-0088,,DCCC.70344; Registry 7812,8,19,8,35,Stratford LGP,Suzanne Porco Clements | clements@cestrumbull.org | 203-365-8213,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Stratford BOE At Stratford Academy Victoria Soto School,Provider,Early Start CT funded child care,Public School,Stratford,06615,"719 Birdseye St, Stratford, CT, 06615",Preschool,Kathy Kirkland,(203) 375-2206,,DCEX.80616; Registry 2031,0,124,0,124,Stratford LGP,Suzanne Porco Clements | clements@cestrumbull.org | 203-365-8213,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Play And Learn Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Thomaston,06787,"30 North Main St, Thomaston, CT, 06787",Infant/Toddler; Preschool,Katie Bike,(860) 283-0791,,DCCC.70816; Registry 12368,8,19,0,27,Thomaston/Plymouth LGP,Michelle Anderson | andersonm@edadvance.org | 860-567-0863 ext 1177,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Thomaston Boe At Little Bears University at Black Rock School,Provider,Early Start CT funded child care,Public School,Thomaston,06787,"57 Branch Rd, Thomaston, CT, 06787",Preschool,Andrea Peters,(860) 283-3050,,EXEMPT; Registry 1808,0,7,0,7,Thomaston/Plymouth LGP,Michelle Anderson | andersonm@edadvance.org | 860-567-0863 ext 1177,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Thompson Boe At Mary R. Fisher Elementary School,Provider,Early Start CT funded child care,Public School,Thompson,06255,"785 Riverside Dr, Thompson, CT, 06255",Preschool,Laurence Prentiss,(860) 923-9142,,EXEMPT; Registry 1505,0,17,0,17,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hilltop Christian Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Torrington,06790,"837 Charles St, Torrington, CT, 06790",Preschool,Barbara J. Mazzei,(860) 482-3727,,DCCC.12517; Registry 2253,0,14,0,14,Northwest CT LGP,Michelle Anderson | andersonm@edadvance.org | 860-567-0863 ext 1177,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Torrington Child Care Center,Provider,Early Start CT funded child care,Child Care Center,Torrington,06790,"338 Kennedy Dr, Torrington, CT, 06790",Preschool,Mary Cecchinato,(860) 482-2621,,DCCC.14163; Registry 744,0,43,0,43,Northwest CT LGP,Michelle Anderson | andersonm@edadvance.org | 860-567-0863 ext 1177,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Torrington Head Start,Provider,Early Start CT funded child care,Public School,Torrington,06790,"28 Saint John Place, Torrington, CT, 06790",Preschool,Paula Romanelli,(860) 482-5286,,DCEX.80738; Registry 1822,0,31,0,31,Northwest CT LGP,Michelle Anderson | andersonm@edadvance.org | 860-567-0863 ext 1177,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Alliance for Comm Empowerment@ Middlebrooks School,Provider,Early Start CT funded child care,Child Care Center,Trumbull,06611,"240 Middlebrooks Ave, Trumbull, CT, 06611",Preschool,Dr. Monette Ferguson,(203) 366-8241,,DCCC.16248; Registry 108,0,15,0,15,NA,NA | NA | NA,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Regional Center for Early Learning,Provider,Early Start CT funded child care,Public School,Trumbull,06611,"40 Lindeman Dr, Trumbull, CT, 06611",Preschool,Ivelisse Guzman,(203) 365-8996,,DCEX.80511; Registry 1571,0,110,0,110,NA,NA | NA | NA,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Indian Valley Ymca Rockville Child Care Center,Provider,Early Start CT funded child care,Child Care Center,Vernon,06066,"23 Elm St, Vernon, CT, 06066",Infant/Toddler; Preschool,Jennifer Motta,(860) 896-0584,,DCCC.16791; Registry 2073,26,37,0,63,Vernon LGP,Anna Figueroa | afigueroa@vernon-ct.gov | 860-870-3555,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Vernon Preschool Collaborative At Center Road School,Provider,Early Start CT funded child care,Public School,Vernon,06066,"20 Center Rd, Vernon, CT, 06066",Preschool,Shelley McCone,(860) 896-4663,,EXEMPT; Registry 7220,0,33,0,33,Vernon LGP,Anna Figueroa | afigueroa@vernon-ct.gov | 860-870-3555,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Voluntown Boe At Voluntown Elementary School,Provider,Early Start CT funded child care,Public School,Voluntown,06384,"195 Main St, PO Box 129, Voluntown, CT, 06384",Preschool,Amy Suffoletto,(860) 376-2325,,EXEMPT; Registry 1838,0,30,0,30,Southeast CT LGP,Linda Allen | lallen@learn.k12.ct.us | 860-434-4800,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Wallingford Community Day Care,Provider,Early Start CT funded child care,Child Care Center,Wallingford,06492,"80 Wharton Brook Dr, Wallingford, CT, 06492",Infant/Toddler; Preschool,Tamarah Smith,(203) 294-4176,,DCCC.14175; Registry 1464,20,34,0,54,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Angelica Cervantes Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06710,"22 Clinton St.  Waterbury CT. 06710, Waterbury, CT, 06710",Infant/Toddler; Preschool,Angelica Cervantes,(203) 558-8172,,DCFH.56734; Registry 7584,4,3,0,7,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Ark Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06705,"2030 E Main St, Waterbury, CT, 06705",Preschool,Vatsala Kumar/ Rashmi Choudhary ,(203)591-8591,,DCCC.70834; Registry 1650,0,20,0,20,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Catholic Charities Child Development Center - South Main Street,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06706,"965 South Main St, Waterbury, CT, 06706",Infant/Toddler; Preschool,Jessica Nieves,(203) 346-1301,,DCCC.16380; Registry 1671,15,40,0,55,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Children's Community School,Provider,Early Start CT funded child care,Public School,Waterbury,06708,"23 John St, Waterbury, CT, 06708",Preschool,Alison Croce,(203) 575-0659,,DCEX.80724; Registry 1714,0,36,0,36,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Children's Ctr Greater Waterbury Health Network,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06708,"172 Grandview Ave, Waterbury, CT, 06708",Preschool,Gail Gatling-Ellison,(203) 707-4355,,DCCC.15747; Registry 1011,0,94,0,94,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Cristofany Nunez Garcia Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06704,"22 Sumac Street, Waterbury, CT, 06704",Infant/Toddler; Preschool; School age,Cristofany Nunez Garcia,(203) 802-1454,,DCFH.57339; Registry 8963,2,4,3,9,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Easterseals Children's Academy East Campus,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06705,"128 Avenue of Industry, Waterbury, CT, 06705",Preschool,Antoinette Cianciolo,(203) 707-4355,,DCCC.16451; Registry 1797,0,118,0,118,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Easterseals Children's Academy West Campus,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06708,"22 Tompkins St, Waterbury, CT, 06708",Preschool,Amy Palmer,(203) 707-4355,,DCCC.12976; Registry 1796,0,60,0,60,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Elizabeth Dominguez De Cuello Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06704,"123 Griggs St Waterbury, CT 06704, Waterbury, CT, 06704",Infant/Toddler,Elizabeth Cuello Dominguez,(929) 234-1245,,DCFH.57964; Registry 12078,2,0,0,2,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Felicia Guerrero Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06702,"647 E main St., Waterbury, CT, 06702",Infant/Toddler; Preschool; School age,Feliciua Guerrero,(203) 886-7293,,DCFH.57039; Registry 8387,3,2,1,6,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Francisca A Hernández García Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06704,"148 Bishop St Apt 1, Waterbury, CT, 06704",Infant/Toddler; Preschool,Francisca A Hernandez Garcia,(203) 694-1560,,DCFH.57504; Registry 9530,6,2,0,8,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Greater Waterbury Ymca At Rose Hill,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06702,"63 Prospect St, Waterbury, CT, 06702",Infant/Toddler; Preschool,Kristen Jones,(203) 754-9622,,DCCC.70505; Registry 8832,24,20,0,44,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Greater Waterbury Ymca Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06702,"136 West Main St, Waterbury, CT, 06702",Infant/Toddler; Preschool,Kristen Jones,(203) 754-9622,,DCCC.13034; Registry 1790,24,169,0,193,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Jissel Hernandez-Batista Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06704,"18 DRIGGS ST, Waterbury, CT, 06704",Infant/Toddler; Preschool; School age,Jissel Hernandez-Batista,(203) 706-5611,,DCFH.57067; Registry 8343,2,3,4,9,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Muriel H. Moore Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06702,"444 North Main St, Waterbury, CT, 06702",Infant/Toddler; Preschool,Adrienne Ricciardi,(203) 759-0841,,DCCC.15333; Registry 1427,72,206,0,278,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Santa Hernandez Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06704,"54 Young st, Waterbury, CT, 06704",Infant/Toddler; School age,Santa Hernandez,(203) 440-6628,,DCFH.57419; Registry 9440,4,0,1,5,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
TEAM - Slocum Center,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06704,"25 Rumford St, Waterbury, CT, 06704",Infant/Toddler; Preschool,Jamie Peterson,(203) 734-8609,,DCCC.70257; Registry 7494,46,121,0,167,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The Ark Early Care & Education Center,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06702,"222 W Main St, Waterbury, CT, 06702",Preschool,Vatsala Kumar/ Rashmi Choudhary ,(203) 757-9917,,DCCC.70835; Registry 1649,0,60,0,60,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The Center for Early Childhood Education at NVCC,Provider,Early Start CT funded child care,Child Care Center,Waterbury,06708,"750 Chase PKWY, Waterbury, CT, 06708",Preschool,Laura Petrakopoulos,(203) 596-8604,,DCCC.14201; Registry 1413,0,22,0,22,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury BOE At Bucks Hill Annex,Provider,Early Start CT funded child care,Public School,Waterbury,06704,"330 Bucks Hill Rd, Waterbury, CT, 06704",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 1830,0,90,0,90,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe At Carrington School,Provider,Early Start CT funded child care,Public School,Waterbury,06708,"24 Kenmore Ave, Waterbury, CT, 06708",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 6396,0,36,0,36,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe At Chase School,Provider,Early Start CT funded child care,Public School,Waterbury,06705,"40 Woodtick Rd, Waterbury, CT, 06705",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 8174,0,10,0,10,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe At Driggs School,Provider,Early Start CT funded child care,Public School,Waterbury,06710,"77 Woodlawn Terr, Waterbury, CT, 06710",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 8175,0,36,0,36,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe At Duggan School,Provider,Early Start CT funded child care,Public School,Waterbury,06708,"38 West Porter St, Waterbury, CT, 06708",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 6257,0,28,0,28,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe At Gilmartin School,Provider,Early Start CT funded child care,Public School,Waterbury,06706,"94 Spring Lake Rd, Waterbury, CT, 06706",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 6256,0,32,0,32,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe at International School,Provider,Early Start CT funded child care,Public School,Waterbury,06705,"116 Beecher Avenue, Waterbury, CT, 06705",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 9619,0,36,0,36,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
